episod,total_reward
897,-210.9716736772435
898,-240.78791637339208
899,-240.82255920969828
900,-210.97170422834066
901,-240.76414190387152
902,-210.97158660869854
903,-210.97158672606037
904,-240.77843994179136
905,-240.76345912409815
906,-240.79638584787526
907,-240.79705576111922
908,-210.97172022680203
909,-210.9717209458146
910,-210.97170883594384
911,-210.9715933066776
912,-210.97164689056
913,-240.8445033419949
914,-240.7918933919889
915,-210.97167912706328
916,-210.97168960862615
917,-210.9716169317181
918,-210.97162403719
919,-240.82221835214466
920,-210.97170237404043
921,-210.9717375686308
922,-240.87536871320958
923,-240.8566986364002
924,-210.9716647726987
925,-240.85268499892112
926,-240.81759161101976
927,-210.97163544494242
928,-240.73463355170733
929,-210.97172476306312
930,-210.97166347464042
931,-210.9717096187718
932,-210.97171837394183
933,-210.9716668307916
934,-210.97165746446788
935,-210.9716218930228
936,-210.97167656026159
937,-210.9717550844343
938,-210.97170132420882
939,-210.97159109660467
940,-210.97169162665406
941,-210.97170962778097
942,-210.97167222626166
943,-210.97170425960277
944,-210.97170157675856
945,-210.96024486081282
946,-210.97170471862964
947,-240.94726607460788
948,-240.95011276232503
949,-210.95975235763336
950,-210.97169545472926
951,-210.97167325811995
952,-210.95935758930958
953,-210.97159965961214
954,-210.9716506066063
955,-257.4723662702045
956,-210.97165265432577
957,-210.97170779092727
958,-210.97161958779688
959,-210.9715231596672
960,-210.9716653143962
961,-240.90638987160202
962,-210.97169987250433
963,-210.9716123739448
964,-210.97152385610315
965,-210.97166738601945
966,-239.1103544266993
967,-210.96242095628185
968,-210.97161232301949
969,-210.97172436338317
970,-210.9716459354789
971,-210.9717085151935
972,-240.85804606508674
973,-210.97163242677578
974,-210.97168797836594
975,-240.365393108369
976,-240.727301703014
977,-235.1941848785364
978,-240.4138116119623
979,-235.26844337996815
980,-210.97168571625443
981,-210.9716494594961
982,-210.9716650236283
983,-210.9716624209402
984,-240.2528742041051
985,-210.9716966535825
986,-240.72308368895926
987,-240.84219057845223
988,-210.97170650138483
989,-210.971623386562
990,-210.97166660225224
991,-210.97151335234082
992,-210.9717111501954
993,-239.98474798316715
994,-210.9717054845287
995,-210.97171864738726
996,-210.97164120220336
997,-210.97166395940846
998,-210.97172339598268
999,-210.9716978581705
1000,-210.9717143565598
